course_key,course_name,instructor,difficulty_level,certification_offered,study_material_available,course_duration_hours,course_price,feedback_score,enrollment_numbers,course_text
Python for Beginners | Emma Harris | Beginner,Python for Beginners,Emma Harris,Beginner,Yes,Yes,39.1,317.5,0.797,21600,"Course: Python for Beginners, Instructor: Emma Harris, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 39.1 hours, Price: 317.5, Feedback Score: 0.797"
Mobile App Development with Swift | David Wilson | Intermediate,Mobile App Development with Swift,David Wilson,Intermediate,Yes,Yes,7.3,251.04,0.567,22455,"Course: Mobile App Development with Swift, Instructor: David Wilson, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 7.3 hours, Price: 251.04, Feedback Score: 0.567"
Cloud Computing Essentials | Liam Adams | Beginner,Cloud Computing Essentials,Liam Adams,Beginner,Yes,Yes,24.0,417.16,0.769,47503,"Course: Cloud Computing Essentials, Instructor: Liam Adams, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 24.0 hours, Price: 417.16, Feedback Score: 0.769"
DevOps and Continuous Deployment | Daniel White | Intermediate,DevOps and Continuous Deployment,Daniel White,Intermediate,Yes,Yes,18.2,336.99,0.946,13513,"Course: DevOps and Continuous Deployment, Instructor: Daniel White, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 18.2 hours, Price: 336.99, Feedback Score: 0.946"
Advanced Machine Learning | Emma Harris | Beginner,Advanced Machine Learning,Emma Harris,Beginner,Yes,Yes,47.3,241.39,0.77,20981,"Course: Advanced Machine Learning, Instructor: Emma Harris, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 47.3 hours, Price: 241.39, Feedback Score: 0.77"
Blockchain and Decentralized Applications | Charlotte King | Intermediate,Blockchain and Decentralized Applications,Charlotte King,Intermediate,Yes,No,68.4,126.91,0.661,16261,"Course: Blockchain and Decentralized Applications, Instructor: Charlotte King, Difficulty: Intermediate, Certification: Yes, Study Material: No, Duration: 68.4 hours, Price: 126.91, Feedback Score: 0.661"
Public Speaking Mastery | Charlotte King | Advanced,Public Speaking Mastery,Charlotte King,Advanced,No,Yes,7.6,115.67,0.853,9385,"Course: Public Speaking Mastery, Instructor: Charlotte King, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 7.6 hours, Price: 115.67, Feedback Score: 0.853"
Graphic Design with Canva | Dr. Robert Davis | Beginner,Graphic Design with Canva,Dr. Robert Davis,Beginner,Yes,Yes,64.7,316.47,0.722,32618,"Course: Graphic Design with Canva, Instructor: Dr. Robert Davis, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 64.7 hours, Price: 316.47, Feedback Score: 0.722"
AI for Business Leaders | William Thomas | Intermediate,AI for Business Leaders,William Thomas,Intermediate,Yes,Yes,41.6,283.1,1.0,19493,"Course: AI for Business Leaders, Instructor: William Thomas, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 41.6 hours, Price: 283.1, Feedback Score: 1.0"
Python for Beginners | Prof. Emily Johnson | Intermediate,Python for Beginners,Prof. Emily Johnson,Intermediate,Yes,Yes,28.2,292.39,0.779,15279,"Course: Python for Beginners, Instructor: Prof. Emily Johnson, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 28.2 hours, Price: 292.39, Feedback Score: 0.779"
Project Management Fundamentals | Dr. Mia Walker | Advanced,Project Management Fundamentals,Dr. Mia Walker,Advanced,No,Yes,18.0,475.99,0.546,29926,"Course: Project Management Fundamentals, Instructor: Dr. Mia Walker, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 18.0 hours, Price: 475.99, Feedback Score: 0.546"
Networking and System Administration | James Clark | Intermediate,Networking and System Administration,James Clark,Intermediate,Yes,Yes,77.7,157.81,0.828,32173,"Course: Networking and System Administration, Instructor: James Clark, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 77.7 hours, Price: 157.81, Feedback Score: 0.828"
Advanced Machine Learning | William Thomas | Beginner,Advanced Machine Learning,William Thomas,Beginner,Yes,Yes,69.7,413.75,0.518,10340,"Course: Advanced Machine Learning, Instructor: William Thomas, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 69.7 hours, Price: 413.75, Feedback Score: 0.518"
Mobile App Development with Swift | Dr. Robert Davis | Advanced,Mobile App Development with Swift,Dr. Robert Davis,Advanced,Yes,Yes,37.8,204.1,0.744,23666,"Course: Mobile App Development with Swift, Instructor: Dr. Robert Davis, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 37.8 hours, Price: 204.1, Feedback Score: 0.744"
Stock Market and Trading Strategies | William Thomas | Advanced,Stock Market and Trading Strategies,William Thomas,Advanced,Yes,Yes,50.7,111.17,0.749,3676,"Course: Stock Market and Trading Strategies, Instructor: William Thomas, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 50.7 hours, Price: 111.17, Feedback Score: 0.749"
Cloud Computing Essentials | Alexander Young | Advanced,Cloud Computing Essentials,Alexander Young,Advanced,Yes,Yes,77.3,87.85,0.794,40957,"Course: Cloud Computing Essentials, Instructor: Alexander Young, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 77.3 hours, Price: 87.85, Feedback Score: 0.794"
Advanced Machine Learning | Olivia Taylor | Advanced,Advanced Machine Learning,Olivia Taylor,Advanced,Yes,Yes,29.4,267.98,0.738,8268,"Course: Advanced Machine Learning, Instructor: Olivia Taylor, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 29.4 hours, Price: 267.98, Feedback Score: 0.738"
Python for Beginners | Prof. Emily Johnson | Beginner,Python for Beginners,Prof. Emily Johnson,Beginner,No,Yes,79.9,85.32,0.535,20550,"Course: Python for Beginners, Instructor: Prof. Emily Johnson, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 79.9 hours, Price: 85.32, Feedback Score: 0.535"
Graphic Design with Canva | William Thomas | Intermediate,Graphic Design with Canva,William Thomas,Intermediate,Yes,Yes,60.8,21.92,0.631,42851,"Course: Graphic Design with Canva, Instructor: William Thomas, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 60.8 hours, Price: 21.92, Feedback Score: 0.631"
Graphic Design with Canva | Jessica Martinez | Beginner,Graphic Design with Canva,Jessica Martinez,Beginner,Yes,Yes,7.5,499.41,0.536,48575,"Course: Graphic Design with Canva, Instructor: Jessica Martinez, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 7.5 hours, Price: 499.41, Feedback Score: 0.536"
Photography and Video Editing | Dr. Robert Davis | Beginner,Photography and Video Editing,Dr. Robert Davis,Beginner,Yes,Yes,30.7,180.9,0.829,25999,"Course: Photography and Video Editing, Instructor: Dr. Robert Davis, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 30.7 hours, Price: 180.9, Feedback Score: 0.829"
Data Visualization with Tableau | Jessica Martinez | Advanced,Data Visualization with Tableau,Jessica Martinez,Advanced,Yes,Yes,84.8,253.1,0.799,34703,"Course: Data Visualization with Tableau, Instructor: Jessica Martinez, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 84.8 hours, Price: 253.1, Feedback Score: 0.799"
Ethical Hacking Masterclass | Charlotte King | Beginner,Ethical Hacking Masterclass,Charlotte King,Beginner,No,No,83.6,328.81,0.82,37605,"Course: Ethical Hacking Masterclass, Instructor: Charlotte King, Difficulty: Beginner, Certification: No, Study Material: No, Duration: 83.6 hours, Price: 328.81, Feedback Score: 0.82"
Data Visualization with Tableau | Benjamin Lewis | Intermediate,Data Visualization with Tableau,Benjamin Lewis,Intermediate,Yes,Yes,13.7,369.68,0.747,45723,"Course: Data Visualization with Tableau, Instructor: Benjamin Lewis, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 13.7 hours, Price: 369.68, Feedback Score: 0.747"
Game Development with Unity | Benjamin Lewis | Intermediate,Game Development with Unity,Benjamin Lewis,Intermediate,Yes,No,61.2,38.56,0.828,49593,"Course: Game Development with Unity, Instructor: Benjamin Lewis, Difficulty: Intermediate, Certification: Yes, Study Material: No, Duration: 61.2 hours, Price: 38.56, Feedback Score: 0.828"
Public Speaking Mastery | Olivia Taylor | Beginner,Public Speaking Mastery,Olivia Taylor,Beginner,Yes,Yes,42.0,167.69,0.867,24955,"Course: Public Speaking Mastery, Instructor: Olivia Taylor, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 42.0 hours, Price: 167.69, Feedback Score: 0.867"
Public Speaking Mastery | Isabella Scott | Advanced,Public Speaking Mastery,Isabella Scott,Advanced,Yes,Yes,36.3,143.2,0.67,35885,"Course: Public Speaking Mastery, Instructor: Isabella Scott, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 36.3 hours, Price: 143.2, Feedback Score: 0.67"
Game Development with Unity | David Wilson | Beginner,Game Development with Unity,David Wilson,Beginner,No,Yes,89.2,45.97,0.813,16904,"Course: Game Development with Unity, Instructor: David Wilson, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 89.2 hours, Price: 45.97, Feedback Score: 0.813"
Networking and System Administration | Prof. Emily Johnson | Beginner,Networking and System Administration,Prof. Emily Johnson,Beginner,Yes,Yes,80.5,309.43,0.801,45776,"Course: Networking and System Administration, Instructor: Prof. Emily Johnson, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 80.5 hours, Price: 309.43, Feedback Score: 0.801"
Data Visualization with Tableau | Daniel White | Beginner,Data Visualization with Tableau,Daniel White,Beginner,Yes,Yes,92.4,452.13,0.824,14721,"Course: Data Visualization with Tableau, Instructor: Daniel White, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 92.4 hours, Price: 452.13, Feedback Score: 0.824"
Mobile App Development with Swift | Dr. Mia Walker | Advanced,Mobile App Development with Swift,Dr. Mia Walker,Advanced,Yes,Yes,45.1,250.84,0.701,5816,"Course: Mobile App Development with Swift, Instructor: Dr. Mia Walker, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 45.1 hours, Price: 250.84, Feedback Score: 0.701"
Graphic Design with Canva | Dr. Mia Walker | Beginner,Graphic Design with Canva,Dr. Mia Walker,Beginner,Yes,Yes,39.7,418.38,0.65,25652,"Course: Graphic Design with Canva, Instructor: Dr. Mia Walker, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 39.7 hours, Price: 418.38, Feedback Score: 0.65"
Ethical Hacking Masterclass | Daniel White | Intermediate,Ethical Hacking Masterclass,Daniel White,Intermediate,Yes,Yes,63.6,487.84,0.708,6380,"Course: Ethical Hacking Masterclass, Instructor: Daniel White, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 63.6 hours, Price: 487.84, Feedback Score: 0.708"
Stock Market and Trading Strategies | Sophia Anderson | Beginner,Stock Market and Trading Strategies,Sophia Anderson,Beginner,Yes,Yes,39.5,151.55,0.534,14695,"Course: Stock Market and Trading Strategies, Instructor: Sophia Anderson, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 39.5 hours, Price: 151.55, Feedback Score: 0.534"
Fitness and Nutrition Coaching | Dr. Mia Walker | Advanced,Fitness and Nutrition Coaching,Dr. Mia Walker,Advanced,No,Yes,87.6,390.62,0.549,31788,"Course: Fitness and Nutrition Coaching, Instructor: Dr. Mia Walker, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 87.6 hours, Price: 390.62, Feedback Score: 0.549"
Mobile App Development with Swift | Isabella Scott | Advanced,Mobile App Development with Swift,Isabella Scott,Advanced,Yes,Yes,73.9,170.68,0.276,27034,"Course: Mobile App Development with Swift, Instructor: Isabella Scott, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 73.9 hours, Price: 170.68, Feedback Score: 0.276"
Ethical Hacking Masterclass | Emma Harris | Advanced,Ethical Hacking Masterclass,Emma Harris,Advanced,Yes,Yes,14.2,477.38,0.56,5157,"Course: Ethical Hacking Masterclass, Instructor: Emma Harris, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 14.2 hours, Price: 477.38, Feedback Score: 0.56"
Advanced Machine Learning | Dr. John Smith | Beginner,Advanced Machine Learning,Dr. John Smith,Beginner,Yes,Yes,67.1,156.0,0.715,36701,"Course: Advanced Machine Learning, Instructor: Dr. John Smith, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 67.1 hours, Price: 156.0, Feedback Score: 0.715"
Public Speaking Mastery | Daniel White | Advanced,Public Speaking Mastery,Daniel White,Advanced,Yes,No,65.7,131.74,0.891,35104,"Course: Public Speaking Mastery, Instructor: Daniel White, Difficulty: Advanced, Certification: Yes, Study Material: No, Duration: 65.7 hours, Price: 131.74, Feedback Score: 0.891"
Photography and Video Editing | Michael Brown | Intermediate,Photography and Video Editing,Michael Brown,Intermediate,Yes,No,11.3,170.79,0.69,25501,"Course: Photography and Video Editing, Instructor: Michael Brown, Difficulty: Intermediate, Certification: Yes, Study Material: No, Duration: 11.3 hours, Price: 170.79, Feedback Score: 0.69"
Game Development with Unity | Michael Brown | Advanced,Game Development with Unity,Michael Brown,Advanced,No,Yes,91.1,220.88,0.663,15630,"Course: Game Development with Unity, Instructor: Michael Brown, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 91.1 hours, Price: 220.88, Feedback Score: 0.663"
Personal Finance and Wealth Building | Dr. Robert Davis | Advanced,Personal Finance and Wealth Building,Dr. Robert Davis,Advanced,Yes,No,28.0,37.44,0.721,29205,"Course: Personal Finance and Wealth Building, Instructor: Dr. Robert Davis, Difficulty: Advanced, Certification: Yes, Study Material: No, Duration: 28.0 hours, Price: 37.44, Feedback Score: 0.721"
Advanced Machine Learning | Liam Adams | Beginner,Advanced Machine Learning,Liam Adams,Beginner,Yes,Yes,31.0,324.64,0.587,15157,"Course: Advanced Machine Learning, Instructor: Liam Adams, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 31.0 hours, Price: 324.64, Feedback Score: 0.587"
Graphic Design with Canva | Charlotte King | Intermediate,Graphic Design with Canva,Charlotte King,Intermediate,Yes,Yes,61.3,67.45,0.608,36772,"Course: Graphic Design with Canva, Instructor: Charlotte King, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 61.3 hours, Price: 67.45, Feedback Score: 0.608"
Cloud Computing Essentials | Michael Brown | Beginner,Cloud Computing Essentials,Michael Brown,Beginner,Yes,Yes,49.6,36.42,0.808,26554,"Course: Cloud Computing Essentials, Instructor: Michael Brown, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 49.6 hours, Price: 36.42, Feedback Score: 0.808"
Fundamentals of Digital Marketing | David Wilson | Beginner,Fundamentals of Digital Marketing,David Wilson,Beginner,No,Yes,25.1,468.08,0.842,15556,"Course: Fundamentals of Digital Marketing, Instructor: David Wilson, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 25.1 hours, Price: 468.08, Feedback Score: 0.842"
Data Visualization with Tableau | Olivia Taylor | Intermediate,Data Visualization with Tableau,Olivia Taylor,Intermediate,Yes,Yes,94.5,289.44,0.646,36901,"Course: Data Visualization with Tableau, Instructor: Olivia Taylor, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 94.5 hours, Price: 289.44, Feedback Score: 0.646"
Fundamentals of Digital Marketing | Michael Brown | Intermediate,Fundamentals of Digital Marketing,Michael Brown,Intermediate,Yes,Yes,61.5,378.57,0.849,19058,"Course: Fundamentals of Digital Marketing, Instructor: Michael Brown, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 61.5 hours, Price: 378.57, Feedback Score: 0.849"
Cybersecurity for Professionals | William Thomas | Intermediate,Cybersecurity for Professionals,William Thomas,Intermediate,Yes,No,73.4,418.29,0.956,8271,"Course: Cybersecurity for Professionals, Instructor: William Thomas, Difficulty: Intermediate, Certification: Yes, Study Material: No, Duration: 73.4 hours, Price: 418.29, Feedback Score: 0.956"
Game Development with Unity | Isabella Scott | Beginner,Game Development with Unity,Isabella Scott,Beginner,Yes,No,61.0,194.14,0.748,40944,"Course: Game Development with Unity, Instructor: Isabella Scott, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 61.0 hours, Price: 194.14, Feedback Score: 0.748"
Networking and System Administration | Dr. John Smith | Advanced,Networking and System Administration,Dr. John Smith,Advanced,No,No,98.4,77.16,0.965,16255,"Course: Networking and System Administration, Instructor: Dr. John Smith, Difficulty: Advanced, Certification: No, Study Material: No, Duration: 98.4 hours, Price: 77.16, Feedback Score: 0.965"
Project Management Fundamentals | William Thomas | Advanced,Project Management Fundamentals,William Thomas,Advanced,No,No,15.9,473.68,0.643,26455,"Course: Project Management Fundamentals, Instructor: William Thomas, Difficulty: Advanced, Certification: No, Study Material: No, Duration: 15.9 hours, Price: 473.68, Feedback Score: 0.643"
Fundamentals of Digital Marketing | Isabella Scott | Intermediate,Fundamentals of Digital Marketing,Isabella Scott,Intermediate,Yes,Yes,36.0,333.46,0.847,48419,"Course: Fundamentals of Digital Marketing, Instructor: Isabella Scott, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 36.0 hours, Price: 333.46, Feedback Score: 0.847"
AI for Business Leaders | David Wilson | Beginner,AI for Business Leaders,David Wilson,Beginner,Yes,Yes,49.2,147.8,0.918,34347,"Course: AI for Business Leaders, Instructor: David Wilson, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 49.2 hours, Price: 147.8, Feedback Score: 0.918"
Game Development with Unity | Liam Adams | Beginner,Game Development with Unity,Liam Adams,Beginner,Yes,Yes,59.5,223.85,0.807,5380,"Course: Game Development with Unity, Instructor: Liam Adams, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 59.5 hours, Price: 223.85, Feedback Score: 0.807"
Stock Market and Trading Strategies | Sophia Anderson | Intermediate,Stock Market and Trading Strategies,Sophia Anderson,Intermediate,No,Yes,96.2,138.52,0.71,4252,"Course: Stock Market and Trading Strategies, Instructor: Sophia Anderson, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 96.2 hours, Price: 138.52, Feedback Score: 0.71"
Public Speaking Mastery | James Clark | Beginner,Public Speaking Mastery,James Clark,Beginner,No,Yes,27.2,277.91,1.0,9687,"Course: Public Speaking Mastery, Instructor: James Clark, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 27.2 hours, Price: 277.91, Feedback Score: 1.0"
Fundamentals of Digital Marketing | David Wilson | Advanced,Fundamentals of Digital Marketing,David Wilson,Advanced,Yes,No,11.3,442.95,0.756,41098,"Course: Fundamentals of Digital Marketing, Instructor: David Wilson, Difficulty: Advanced, Certification: Yes, Study Material: No, Duration: 11.3 hours, Price: 442.95, Feedback Score: 0.756"
Stock Market and Trading Strategies | William Thomas | Intermediate,Stock Market and Trading Strategies,William Thomas,Intermediate,Yes,Yes,60.4,490.35,0.54,35746,"Course: Stock Market and Trading Strategies, Instructor: William Thomas, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 60.4 hours, Price: 490.35, Feedback Score: 0.54"
Python for Beginners | Daniel White | Intermediate,Python for Beginners,Daniel White,Intermediate,Yes,Yes,76.6,359.71,0.597,22861,"Course: Python for Beginners, Instructor: Daniel White, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 76.6 hours, Price: 359.71, Feedback Score: 0.597"
Data Visualization with Tableau | William Thomas | Advanced,Data Visualization with Tableau,William Thomas,Advanced,Yes,Yes,20.5,198.64,0.677,24876,"Course: Data Visualization with Tableau, Instructor: William Thomas, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 20.5 hours, Price: 198.64, Feedback Score: 0.677"
Networking and System Administration | Alexander Young | Beginner,Networking and System Administration,Alexander Young,Beginner,No,Yes,27.6,311.95,0.446,32183,"Course: Networking and System Administration, Instructor: Alexander Young, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 27.6 hours, Price: 311.95, Feedback Score: 0.446"
Blockchain and Decentralized Applications | David Wilson | Intermediate,Blockchain and Decentralized Applications,David Wilson,Intermediate,Yes,Yes,70.0,38.62,0.756,9181,"Course: Blockchain and Decentralized Applications, Instructor: David Wilson, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 70.0 hours, Price: 38.62, Feedback Score: 0.756"
Fundamentals of Digital Marketing | Prof. Emily Johnson | Beginner,Fundamentals of Digital Marketing,Prof. Emily Johnson,Beginner,Yes,Yes,7.4,390.17,0.536,4215,"Course: Fundamentals of Digital Marketing, Instructor: Prof. Emily Johnson, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 7.4 hours, Price: 390.17, Feedback Score: 0.536"
Graphic Design with Canva | Dr. Mia Walker | Intermediate,Graphic Design with Canva,Dr. Mia Walker,Intermediate,Yes,Yes,54.8,121.67,0.852,5502,"Course: Graphic Design with Canva, Instructor: Dr. Mia Walker, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 54.8 hours, Price: 121.67, Feedback Score: 0.852"
Mobile App Development with Swift | Daniel White | Advanced,Mobile App Development with Swift,Daniel White,Advanced,No,Yes,32.4,181.07,0.69,10836,"Course: Mobile App Development with Swift, Instructor: Daniel White, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 32.4 hours, Price: 181.07, Feedback Score: 0.69"
Stock Market and Trading Strategies | Michael Brown | Intermediate,Stock Market and Trading Strategies,Michael Brown,Intermediate,Yes,Yes,75.2,248.57,0.857,2993,"Course: Stock Market and Trading Strategies, Instructor: Michael Brown, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 75.2 hours, Price: 248.57, Feedback Score: 0.857"
Project Management Fundamentals | Benjamin Lewis | Intermediate,Project Management Fundamentals,Benjamin Lewis,Intermediate,No,Yes,46.2,69.77,0.763,14959,"Course: Project Management Fundamentals, Instructor: Benjamin Lewis, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 46.2 hours, Price: 69.77, Feedback Score: 0.763"
Ethical Hacking Masterclass | Ethan Hall | Advanced,Ethical Hacking Masterclass,Ethan Hall,Advanced,Yes,Yes,90.6,281.64,0.698,47775,"Course: Ethical Hacking Masterclass, Instructor: Ethan Hall, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 90.6 hours, Price: 281.64, Feedback Score: 0.698"
Fitness and Nutrition Coaching | Benjamin Lewis | Advanced,Fitness and Nutrition Coaching,Benjamin Lewis,Advanced,Yes,Yes,75.8,497.34,0.777,6579,"Course: Fitness and Nutrition Coaching, Instructor: Benjamin Lewis, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 75.8 hours, Price: 497.34, Feedback Score: 0.777"
Advanced Machine Learning | Daniel White | Advanced,Advanced Machine Learning,Daniel White,Advanced,No,Yes,74.2,140.12,0.736,41896,"Course: Advanced Machine Learning, Instructor: Daniel White, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 74.2 hours, Price: 140.12, Feedback Score: 0.736"
Fundamentals of Digital Marketing | William Thomas | Intermediate,Fundamentals of Digital Marketing,William Thomas,Intermediate,Yes,Yes,5.1,214.05,0.533,29238,"Course: Fundamentals of Digital Marketing, Instructor: William Thomas, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 5.1 hours, Price: 214.05, Feedback Score: 0.533"
Personal Finance and Wealth Building | Sophia Anderson | Beginner,Personal Finance and Wealth Building,Sophia Anderson,Beginner,Yes,Yes,89.3,141.2,0.77,33243,"Course: Personal Finance and Wealth Building, Instructor: Sophia Anderson, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 89.3 hours, Price: 141.2, Feedback Score: 0.77"
DevOps and Continuous Deployment | Dr. John Smith | Beginner,DevOps and Continuous Deployment,Dr. John Smith,Beginner,Yes,Yes,33.1,452.48,0.767,15051,"Course: DevOps and Continuous Deployment, Instructor: Dr. John Smith, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 33.1 hours, Price: 452.48, Feedback Score: 0.767"
Python for Beginners | Ethan Hall | Advanced,Python for Beginners,Ethan Hall,Advanced,Yes,Yes,54.8,381.03,0.687,30747,"Course: Python for Beginners, Instructor: Ethan Hall, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 54.8 hours, Price: 381.03, Feedback Score: 0.687"
Game Development with Unity | Charlotte King | Intermediate,Game Development with Unity,Charlotte King,Intermediate,No,No,84.6,447.23,0.731,4528,"Course: Game Development with Unity, Instructor: Charlotte King, Difficulty: Intermediate, Certification: No, Study Material: No, Duration: 84.6 hours, Price: 447.23, Feedback Score: 0.731"
Personal Finance and Wealth Building | William Thomas | Intermediate,Personal Finance and Wealth Building,William Thomas,Intermediate,Yes,Yes,88.8,110.98,0.971,20113,"Course: Personal Finance and Wealth Building, Instructor: William Thomas, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 88.8 hours, Price: 110.98, Feedback Score: 0.971"
Game Development with Unity | Dr. John Smith | Intermediate,Game Development with Unity,Dr. John Smith,Intermediate,Yes,Yes,21.0,475.42,0.639,35509,"Course: Game Development with Unity, Instructor: Dr. John Smith, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 21.0 hours, Price: 475.42, Feedback Score: 0.639"
Personal Finance and Wealth Building | Liam Adams | Advanced,Personal Finance and Wealth Building,Liam Adams,Advanced,Yes,Yes,30.6,189.45,0.504,21530,"Course: Personal Finance and Wealth Building, Instructor: Liam Adams, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 30.6 hours, Price: 189.45, Feedback Score: 0.504"
Data Visualization with Tableau | Benjamin Lewis | Beginner,Data Visualization with Tableau,Benjamin Lewis,Beginner,No,Yes,94.8,278.82,0.629,15485,"Course: Data Visualization with Tableau, Instructor: Benjamin Lewis, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 94.8 hours, Price: 278.82, Feedback Score: 0.629"
Photography and Video Editing | Olivia Taylor | Intermediate,Photography and Video Editing,Olivia Taylor,Intermediate,No,Yes,17.0,326.62,0.746,7744,"Course: Photography and Video Editing, Instructor: Olivia Taylor, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 17.0 hours, Price: 326.62, Feedback Score: 0.746"
Data Visualization with Tableau | Isabella Scott | Intermediate,Data Visualization with Tableau,Isabella Scott,Intermediate,Yes,No,27.2,129.25,1.0,33060,"Course: Data Visualization with Tableau, Instructor: Isabella Scott, Difficulty: Intermediate, Certification: Yes, Study Material: No, Duration: 27.2 hours, Price: 129.25, Feedback Score: 1.0"
DevOps and Continuous Deployment | Sophia Anderson | Advanced,DevOps and Continuous Deployment,Sophia Anderson,Advanced,No,Yes,92.3,68.43,0.868,47931,"Course: DevOps and Continuous Deployment, Instructor: Sophia Anderson, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 92.3 hours, Price: 68.43, Feedback Score: 0.868"
Fitness and Nutrition Coaching | Michael Brown | Intermediate,Fitness and Nutrition Coaching,Michael Brown,Intermediate,Yes,Yes,39.7,113.07,0.766,33820,"Course: Fitness and Nutrition Coaching, Instructor: Michael Brown, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 39.7 hours, Price: 113.07, Feedback Score: 0.766"
Cloud Computing Essentials | Benjamin Lewis | Beginner,Cloud Computing Essentials,Benjamin Lewis,Beginner,Yes,Yes,7.2,58.47,0.759,33029,"Course: Cloud Computing Essentials, Instructor: Benjamin Lewis, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 7.2 hours, Price: 58.47, Feedback Score: 0.759"
Project Management Fundamentals | Jessica Martinez | Intermediate,Project Management Fundamentals,Jessica Martinez,Intermediate,No,Yes,81.1,144.75,1.0,49358,"Course: Project Management Fundamentals, Instructor: Jessica Martinez, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 81.1 hours, Price: 144.75, Feedback Score: 1.0"
